,DIA,HORA,ALT (m)
933,19,13:11,0.7
934,19,15:26,0.7
935,19,19:13,0.9
936,19,23:41,0.6
937,19,01:47,0.6
938,20,03:53,0.6
939,20,08:21,0.9
940,20,13:36,0.8
941,20,16:49,0.7
942,20,20:09,0.9
943,21,05:04,0.5
944,21,13:23,0.9
945,21,17:56,0.7
946,21,21:53,0.8
947,21,06:06,0.4
948,22,13:23,1.0
949,22,18:51,0.6
950,22,23:54,0.9
951,23,06:58,0.3
952,23,13:38,1.1
953,23,19:28,0.5
954,23,00:51,1.0
955,24,07:38,0.2
956,24,14:00,1.2
957,24,20:04,0.4
958,25,01:28,1.1
959,25,08:13,0.1
960,25,14:24,1.3
961,25,20:38,0.4
962,25,02:02,1.2
963,26,08:49,0.1
964,26,14:53,1.3
965,26,21:08,0.3
966,27,02:36,1.3
967,27,09:21,0.0
968,27,15:17,1.3
969,27,21:39,0.3
970,27,03:04,1.3
971,28,09:53,0.0
972,28,15:47,1.3
973,28,22:06,0.3
974,29,03:38,1.4
975,29,10:24,0.1
976,29,16:11,1.3
977,29,22:36,0.3
978,29,04:08,1.4
979,30,11:00,0.2
980,30,16:41,1.2
981,30,23:08,0.4
982,31,04:43,1.3
983,31,11:41,0.3
984,31,17:08,1.2
985,31,23:44,0.4
986,01,05:17,1.2
987,01,12:39,0.4
988,01,17:41,1.1
989,01,00:45,0.5
990,02,06:00,1.1
991,02,14:00,0.5
992,02,18:11,1.0
993,02,02:11,0.5
994,03,06:54,1.0
995,03,10:28,0.8
996,03,15:30,0.6
997,03,18:58,0.9
998,03,22:47,0.6
999,03,00:09,0.6
1000,04,03:41,0.5
1001,04,08:11,0.9
1002,04,12:49,1.0
1003,04,16:58,0.6
1004,04,20:02,0.8
1005,04,22:45,0.7
1006,05,00:45,0.7
1007,05,04:58,0.4
1008,05,13:23,1.1
1009,05,18:08,0.6
1010,05,01:00,0.8
1011,06,06:02,0.2
1012,06,13:54,1.2
1013,06,19:06,0.5
1014,07,01:11,1.0
1015,07,07:02,0.1
1016,07,14:17,1.3
1017,07,19:54,0.4
1018,07,01:24,1.1
1019,08,07:53,0.0
1020,08,14:32,1.3
1021,08,20:34,0.3
1022,09,01:49,1.2
1023,09,08:39,-0.1
1024,09,14:43,1.3
1025,09,21:09,0.3
1026,09,02:15,1.3
1027,10,09:21,-0.1
1028,10,15:02,1.3
1029,10,21:49,0.3
1030,11,02:53,1.4
1031,11,10:00,0.0
1032,11,15:24,1.3
1033,11,22:19,0.3
1034,11,03:24,1.4
1035,12,10:39,0.1
1036,12,15:54,1.3
1037,12,22:45,0.4
1038,13,04:00,1.4
1039,13,11:13,0.2
1040,13,16:19,1.2
1041,13,22:41,0.4
1042,13,04:38,1.3
1043,14,11:38,0.4
1044,14,21:51,0.4
